x,y,width
0.30896175,0.52722135,0.465
0.31000452,0.52317153,0.465
0.31110363,0.51913662,0.465
0.31225887,0.51511746,0.465
0.31347003,0.51111477,0.465
0.3147369,0.50712936,0.465
0.31605915,0.50316198,0.465
0.3174366,0.49921344,0.465
0.31886895,0.49528449,0.465
0.32035596,0.49137585,0.465
0.32189727,0.48748836,0.465
0.32349264,0.48362271,0.465
0.32514171,0.47977968,0.465
0.32684421,0.47596002,0.465
0.32859981,0.47216445,0.465
0.33040812,0.46839372,0.465
0.33226881,0.46464855,0.465
0.33418155,0.46092969,0.465
0.33614592,0.45723786,0.465
0.33816156,0.45357378,0.465
0.34022811,0.44993814,0.465
0.34234512,0.44633166,0.465
0.34451217,0.44275506,0.465
0.3467289,0.439209,0.465
0.34899483,0.43569417,0.465
0.35130954,0.43221129,0.465
0.35367258,0.42876099,0.465
0.35608347,0.42534399,0.465
0.35854176,0.42196092,0.465
0.36104697,0.41861244,0.465
0.36359862,0.41529921,0.465
0.3661962,0.41202186,0.465
0.3688392,0.40878105,0.465
0.37152714,0.40557738,0.465
0.37425948,0.40241151,0.465
0.37703565,0.39928401,0.465
0.37985517,0.39619554,0.465
0.38271747,0.39314667,0.465
0.38562198,0.39013797,0.465
0.38856816,0.38717007,0.465
0.39155541,0.38424351,0.465
0.39458319,0.38135889,0.465
0.39765087,0.37851675,0.465
0.40075785,0.37571766,0.465
0.40390356,0.37296213,0.465
0.40708737,0.37025073,0.465
0.41030868,0.36758397,0.465
0.41356686,0.36496239,0.465
0.41686125,0.36238647,0.465
0.42019122,0.35985672,0.465
0.42355614,0.35737362,0.465
0.42695535,0.35493768,0.465
0.43038816,0.35254935,0.465
0.43385394,0.35020911,0.465
0.43735203,0.34791741,0.465
0.44088168,0.3456747,0.465
0.44444229,0.3434814,0.465
0.44803311,0.34133793,0.465
0.45165345,0.33924474,0.465
0.45530265,0.33720222,0.465
0.45897993,0.33521076,0.465
0.46268463,0.33327075,0.465
0.466416,0.33138258,0.465
0.47017335,0.32954661,0.465
0.4739559,0.32776317,0.465
0.47776296,0.32603265,0.465
0.48159378,0.32435535,0.465
0.48544758,0.32273163,0.465
0.48932367,0.32116179,0.465
0.49322124,0.31964613,0.465
0.49713957,0.31818492,0.465
0.50107791,0.31677849,0.465
0.50503545,0.31542711,0.465
0.50901144,0.31413102,0.465
0.5130051,0.31289046,0.465
0.51701568,0.3117057,0.465
0.5210424,0.31057695,0.465
0.52508445,0.30950445,0.465
0.52914105,0.30848841,0.465
0.53321142,0.30752901,0.465
0.53729475,0.30662643,0.465
0.54139029,0.30578085,0.465
0.54549723,0.30499245,0.465
0.54961473,0.30426138,0.465
0.55374204,0.30358779,0.465
0.55787835,0.30297177,0.465
0.56202282,0.3024135,0.465
0.56617467,0.30191301,0.465
0.57033312,0.30147048,0.465
0.5744973,0.30108594,0.465
0.57866646,0.30075951,0.465
0.58283976,0.30049119,0.465
0.58701639,0.3002811,0.465
0.59119554,0.30012924,0.465
0.5953764,0.30003564,0.465
0.59955816,0.30000033,0.465
0.60374001,0.30002331,0.465
0.60792114,0.30010458,0.465
0.61210071,0.30024414,0.465
0.61627794,0.30044196,0.465
0.62045202,0.30069795,0.465
0.62462211,0.30101211,0.465
0.62878743,0.30138438,0.465
0.63294714,0.30181467,0.465
0.63710046,0.30230292,0.465
0.64124658,0.30284898,0.465
0.64538466,0.30345282,0.465
0.64951392,0.30411426,0.465
0.65363358,0.30483321,0.465
0.6577428,0.30560949,0.465
0.66184083,0.30644301,0.465
0.6659268,0.30733353,0.465
0.66999999,0.30828096,0.465
0.67405956,0.30928506,0.465
0.67810476,0.31034565,0.465
0.68213478,0.31146252,0.465
